2023/08/09 15:31:54 Parsing output variable expressions...
2023/08/09 15:31:54 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/BASEGM_2015_E010_area_lcc2.shp.
2023/08/09 15:32:43 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/BASEGM_2015_E010_major_lcc2.shp.
2023/08/09 15:33:18 Loading CTM data...
2023/08/09 15:33:18 Reading input data...
2023/08/09 15:39:25 Loading population and mortality rate data...
2023/08/09 15:40:08 Initializing model...
2023/08/09 15:42:10 Emission totals:
2023/08/09 15:42:10 gOrg, 3.1062126478204414e+12 μg/s
2023/08/09 15:42:10 pOrg, 0 μg/s
2023/08/09 15:42:10 PM2_5, 1.5170002236809583e+12 μg/s
2023/08/09 15:42:10 gNH, 1.1940772250227711e+11 μg/s
2023/08/09 15:42:10 pNH, 0 μg/s
2023/08/09 15:42:10 gS, 3.7875012700753413e+12 μg/s
2023/08/09 15:42:10 pS, 0 μg/s
2023/08/09 15:42:10 gNO, 8.932906642561475e+11 μg/s
2023/08/09 15:42:10 pNO, 0 μg/s
2023/08/09 15:43:36 iteration 13791  walltime=0.0578h  Δwalltime=0.0061s  timestep= 0s  day=3.2e-05
2023/08/09 15:43:38 iteration 14106  walltime=0.0584h  Δwalltime=0.006s  timestep= 0s  day=3.28e-05
2023/08/09 15:43:40 iteration 14438  walltime=0.0589h  Δwalltime=0.006s  timestep= 0s  day=3.36e-05
2023/08/09 15:43:42 iteration 14771  walltime=0.0595h  Δwalltime=0.006s  timestep= 0s  day=3.43e-05
2023/08/09 15:43:44 iteration 15091  walltime=0.0601h  Δwalltime=0.006s  timestep= 0s  day=3.51e-05
2023/08/09 15:43:46 iteration 15423  walltime=0.0606h  Δwalltime=0.0059s  timestep= 0s  day=3.58e-05
2023/08/09 15:43:48 iteration 15751  walltime=0.0612h  Δwalltime=0.0058s  timestep= 0s  day=3.66e-05
2023/08/09 15:43:50 iteration 16085  walltime=0.0617h  Δwalltime=0.0059s  timestep= 0s  day=3.74e-05
2023/08/09 15:43:52 iteration 16347  walltime=0.0623h  Δwalltime=0.006s  timestep= 0s  day=3.8e-05
2023/08/09 15:43:54 iteration 16675  walltime=0.0628h  Δwalltime=0.0058s  timestep= 0s  day=3.88e-05
2023/08/09 15:43:56 iteration 17010  walltime=0.0634h  Δwalltime=0.0059s  timestep= 0s  day=3.95e-05
2023/08/09 15:43:58 iteration 17341  walltime=0.0639h  Δwalltime=0.0057s  timestep= 0s  day=4.03e-05
2023/08/09 15:44:00 iteration 17675  walltime=0.0645h  Δwalltime=0.006s  timestep= 0s  day=4.11e-05
2023/08/09 15:44:02 iteration 18009  walltime=0.0651h  Δwalltime=0.006s  timestep= 0s  day=4.19e-05
2023/08/09 15:44:04 iteration 18347  walltime=0.0656h  Δwalltime=0.0059s  timestep= 0s  day=4.26e-05
2023/08/09 15:44:06 iteration 18677  walltime=0.0662h  Δwalltime=0.006s  timestep= 0s  day=4.34e-05
2023/08/09 15:44:08 iteration 19011  walltime=0.0667h  Δwalltime=0.0061s  timestep= 0s  day=4.42e-05
2023/08/09 15:44:10 iteration 19337  walltime=0.0673h  Δwalltime=0.0059s  timestep= 0s  day=4.49e-05
2023/08/09 15:44:12 iteration 19520  walltime=0.0678h  Δwalltime=0.01s  timestep= 0s  day=4.54e-05
2023/08/09 15:44:14 iteration 19757  walltime=0.0684h  Δwalltime=0.0067s  timestep= 0s  day=4.59e-05
