2023/07/11 19:42:27 Parsing output variable expressions...
2023/07/11 19:42:27 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_ground_211.shp.
2023/07/11 19:42:27 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_stack_211.shp.
2023/07/11 19:42:28 Loading CTM data...
2023/07/11 19:42:28 Reading input data...
2023/07/11 19:48:24 Loading population and mortality rate data...
2023/07/11 19:49:07 Initializing model...
2023/07/11 21:09:25 Emission totals:
2023/07/11 21:09:25 gOrg, 3.497824882737187e+09 μg/s
2023/07/11 21:09:25 pOrg, 0 μg/s
2023/07/11 21:09:25 PM2_5, 3.215161032153734e+08 μg/s
2023/07/11 21:09:25 gNH, 4.760887394614507e+07 μg/s
2023/07/11 21:09:25 pNH, 0 μg/s
2023/07/11 21:09:25 gS, 2.258513914035739e+09 μg/s
2023/07/11 21:09:25 pS, 0 μg/s
2023/07/11 21:09:25 gNO, 2.324841412183074e+09 μg/s
2023/07/11 21:09:25 pNO, 0 μg/s
2023/07/11 21:10:55 iteration 59    walltime=  1.36h  Δwalltime= 1.5s  timestep= 3s  day=0.00202
2023/07/11 21:10:57 iteration 60    walltime=  1.36h  Δwalltime= 1.5s  timestep= 3s  day=0.00205
2023/07/11 21:11:00 iteration 62    walltime=  1.36h  Δwalltime= 1.5s  timestep= 3s  day=0.00212
2023/07/11 21:11:01 iteration 63    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.00215
2023/07/11 21:11:03 iteration 64    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.00219
2023/07/11 21:11:06 iteration 66    walltime=  1.37h  Δwalltime= 1.6s  timestep= 3s  day=0.00226
2023/07/11 21:11:07 iteration 67    walltime=  1.37h  Δwalltime= 1.6s  timestep= 3s  day=0.00229
2023/07/11 21:11:09 iteration 68    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.00232
2023/07/11 21:11:12 iteration 70    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.00239
2023/07/11 21:11:14 iteration 71    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.00243
2023/07/11 21:11:15 iteration 72    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.00246
2023/07/11 21:11:18 iteration 74    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.00253
2023/07/11 21:11:19 iteration 75    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.00256
2023/07/11 21:11:21 iteration 76    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.0026
2023/07/11 21:11:24 iteration 78    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.00267
2023/07/11 21:11:25 iteration 79    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.0027
2023/07/11 21:11:27 iteration 80    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.00273
2023/07/11 21:11:30 iteration 82    walltime=  1.37h  Δwalltime= 1.4s  timestep= 3s  day=0.0028
2023/07/11 21:11:31 iteration 83    walltime=  1.37h  Δwalltime= 1.5s  timestep= 3s  day=0.00284
2023/07/11 21:11:33 iteration 84    walltime=  1.37h  Δwalltime= 1.6s  timestep= 3s  day=0.00287
2023/07/11 21:11:36 iteration 86    walltime=  1.37h  Δwalltime= 1.4s  timestep= 3s  day=0.00294
2023/07/11 21:11:37 iteration 87    walltime=  1.38h  Δwalltime= 1.6s  timestep= 3s  day=0.00297
2023/07/11 21:11:39 iteration 88    walltime=  1.38h  Δwalltime= 1.4s  timestep= 3s  day=0.00301
2023/07/11 21:11:42 iteration 90    walltime=  1.38h  Δwalltime= 1.8s  timestep= 3s  day=0.00308
2023/07/11 21:11:44 iteration 91    walltime=  1.38h  Δwalltime= 1.5s  timestep= 3s  day=0.00311
2023/07/11 21:11:45 iteration 92    walltime=  1.38h  Δwalltime= 1.5s  timestep= 3s  day=0.00314
2023/07/11 21:11:48 iteration 94    walltime=  1.38h  Δwalltime= 1.5s  timestep= 3s  day=0.00321
2023/07/11 21:11:50 iteration 95    walltime=  1.38h  Δwalltime= 1.5s  timestep= 3s  day=0.00325
2023/07/11 21:11:51 iteration 96    walltime=  1.38h  Δwalltime= 1.6s  timestep= 3s  day=0.00328
2023/07/11 21:11:54 iteration 98    walltime=  1.38h  Δwalltime= 1.5s  timestep= 3s  day=0.00335
2023/07/11 21:11:55 iteration 99    walltime=  1.38h  Δwalltime= 1.4s  timestep= 3s  day=0.00338
2023/07/11 21:11:57 iteration 100   walltime=  1.38h  Δwalltime= 1.5s  timestep= 3s  day=0.00342
2023/07/11 21:12:00 iteration 102   walltime=  1.38h  Δwalltime= 1.4s  timestep= 3s  day=0.00349
2023/07/11 21:12:01 iteration 103   walltime=  1.38h  Δwalltime= 1.5s  timestep= 3s  day=0.00352
2023/07/11 21:12:03 iteration 104   walltime=  1.38h  Δwalltime= 1.4s  timestep= 3s  day=0.00355
2023/07/11 21:12:06 iteration 106   walltime=  1.38h  Δwalltime= 1.5s  timestep= 3s  day=0.00362
2023/07/11 21:12:07 iteration 107   walltime=  1.38h  Δwalltime= 1.5s  timestep= 3s  day=0.00366
2023/07/11 21:12:09 iteration 108   walltime=  1.38h  Δwalltime= 1.6s  timestep= 3s  day=0.00369
2023/07/11 21:12:12 iteration 110   walltime=  1.38h  Δwalltime= 1.4s  timestep= 3s  day=0.00376
2023/07/11 21:12:13 iteration 111   walltime=  1.39h  Δwalltime= 1.4s  timestep= 3s  day=0.00379
2023/07/11 21:12:16 iteration 113   walltime=  1.39h  Δwalltime= 1.4s  timestep= 3s  day=0.00386
2023/07/11 21:12:17 iteration 114   walltime=  1.39h  Δwalltime= 1.4s  timestep= 3s  day=0.0039
2023/07/11 21:12:19 iteration 115   walltime=  1.39h  Δwalltime= 1.6s  timestep= 3s  day=0.00393
2023/07/11 21:12:22 iteration 117   walltime=  1.39h  Δwalltime= 1.7s  timestep= 3s  day=0.004
2023/07/11 21:12:24 iteration 118   walltime=  1.39h  Δwalltime= 1.4s  timestep= 3s  day=0.00403
2023/07/11 21:12:25 iteration 119   walltime=  1.39h  Δwalltime= 1.4s  timestep= 3s  day=0.00407
2023/07/11 21:12:28 iteration 121   walltime=  1.39h  Δwalltime= 1.5s  timestep= 3s  day=0.00413
2023/07/11 21:12:29 iteration 122   walltime=  1.39h  Δwalltime= 1.4s  timestep= 3s  day=0.00417
2023/07/11 21:12:31 iteration 123   walltime=  1.39h  Δwalltime= 1.4s  timestep= 3s  day=0.0042
2023/07/11 21:12:34 iteration 125   walltime=  1.39h  Δwalltime= 1.4s  timestep= 3s  day=0.00427
2023/07/11 21:12:35 iteration 126   walltime=  1.39h  Δwalltime= 1.4s  timestep= 3s  day=0.00431
2023/07/11 21:12:37 iteration 127   walltime=  1.39h  Δwalltime= 1.8s  timestep= 3s  day=0.00434
2023/07/11 21:12:40 iteration 129   walltime=  1.39h  Δwalltime= 1.4s  timestep= 3s  day=0.00441
2023/07/11 21:12:41 iteration 130   walltime=  1.39h  Δwalltime= 1.4s  timestep= 3s  day=0.00444
2023/07/11 21:12:43 iteration 131   walltime=  1.39h  Δwalltime=   2s  timestep= 3s  day=0.00448
2023/07/11 21:12:45 iteration 132   walltime=  1.39h  Δwalltime= 2.1s  timestep= 3s  day=0.00451
2023/07/11 21:12:47 iteration 133   walltime=  1.39h  Δwalltime= 2.1s  timestep= 3s  day=0.00454
2023/07/11 21:12:49 iteration 134   walltime=   1.4h  Δwalltime= 2.1s  timestep= 3s  day=0.00458
2023/07/11 21:12:51 iteration 135   walltime=   1.4h  Δwalltime=   2s  timestep= 3s  day=0.00461
2023/07/11 21:12:53 iteration 136   walltime=   1.4h  Δwalltime= 2.1s  timestep= 3s  day=0.00465
2023/07/11 21:12:55 iteration 137   walltime=   1.4h  Δwalltime= 1.7s  timestep= 3s  day=0.00468
2023/07/11 21:12:58 iteration 139   walltime=   1.4h  Δwalltime= 1.5s  timestep= 3s  day=0.00475
2023/07/11 21:13:00 iteration 140   walltime=   1.4h  Δwalltime= 1.5s  timestep= 3s  day=0.00478
2023/07/11 21:13:01 iteration 141   walltime=   1.4h  Δwalltime= 1.5s  timestep= 3s  day=0.00482
2023/07/11 21:13:04 iteration 143   walltime=   1.4h  Δwalltime= 1.5s  timestep= 3s  day=0.00489
2023/07/11 21:13:05 iteration 144   walltime=   1.4h  Δwalltime= 1.5s  timestep= 3s  day=0.00492
2023/07/11 21:13:07 iteration 145   walltime=   1.4h  Δwalltime= 1.6s  timestep= 3s  day=0.00495
2023/07/11 21:13:10 iteration 147   walltime=   1.4h  Δwalltime= 1.5s  timestep= 3s  day=0.00502
2023/07/11 21:13:11 iteration 148   walltime=   1.4h  Δwalltime= 1.5s  timestep= 3s  day=0.00506
2023/07/11 21:13:13 iteration 149   walltime=   1.4h  Δwalltime= 1.5s  timestep= 3s  day=0.00509
