file,var,scope,shape,finite_pct,finite_pct_interior,border_nan_frac,vmin,vmax,all_zero
new,aVOC,yx,"(84, 669, 744)",100.0,100.0,0.0,2.3059269202213226e-15,5.575461099749379e-12,False
new,bVOC,yx,"(84, 669, 744)",100.0,100.0,0.0,9.25593241408887e-16,1.2221210371823887e-12,False
new,gNH,yx,"(84, 669, 744)",100.0,100.0,0.0,1.991185332419606e-16,9.275944202742463e-15,False
new,gNO,yx,"(84, 669, 744)",100.0,100.0,0.0,6.692163264888299e-16,1.684635347887209e-10,False
new,gS,yx,"(84, 669, 744)",100.0,100.0,0.0,1.1533999997158525e-16,1.2023608863473152e-16,False
new,pNH,yx,"(84, 669, 744)",100.0,100.0,0.0,2.4579659990612397e-16,1.224202271672692e-12,False
new,pNO,yx,"(84, 669, 744)",100.0,100.0,0.0,5.428366152434344e-17,4.3598174929212336e-15,False
new,pS,yx,"(84, 669, 744)",100.0,100.0,0.0,1.8586848949229018e-16,1.9246576988402042e-12,False
new,WindSpeed,yx,"(84, 669, 744)",100.0,100.0,0.0,0.2909778952598572,11.558680534362793,False
new,WindSpeedInverse,yx,"(84, 669, 744)",100.0,100.0,0.0,1.3745052873659347e-09,0.07130972295999527,False
new,WindSpeedMinusOnePointFour,yx,"(84, 669, 744)",100.0,100.0,0.0,3.921075161610055e-13,0.03343113511800766,False
new,WindSpeedMinusThird,yx,"(84, 669, 744)",100.0,100.0,0.0,0.0011118566617369652,0.38410836458206177,False
new,alt,yx,"(84, 669, 744)",100.0,100.0,0.0,-1.000000082740371e-09,1.193271517753601,False
new,S1,yx,"(84, 669, 744)",100.0,100.0,0.0,-1.2930907359987032e-05,0.0,False
new,Sclass,yx,"(84, 669, 744)",100.0,100.0,0.0,0.0,0.0,True
new,SO2oxidation,yx,"(84, 669, 744)",100.0,100.0,0.0,1.1968818735803354e-17,1.1162908298461074e-13,False
new,UAvg,y_xs,"(84, 669, 744)",100.0,100.0,0.0,-12.934835433959961,3.9541049003601074,False
new,UDeviation,y_xs,"(84, 669, 744)",100.0,100.0,0.0,2.542097490731976e-06,4.287565231323242,False
new,VAvg,ys_x,"(84, 669, 744)",100.0,100.0,0.0,-24.063674926757812,3.7534549236297607,False
new,VDeviation,ys_x,"(84, 669, 744)",100.0,100.0,0.0,2.542097490731976e-06,3.9804022312164307,False
new,WAvg,w,"(85, 669, 744)",100.0,100.0,0.0,-0.24760837852954865,0.0014653067337349057,False
new,LayerHeights,w,"(85, 669, 744)",100.0,100.0,0.0,9.999999439624929e-11,3657.6728515625,False
