2023/07/18 14:14:02 Parsing output variable expressions...
2023/07/18 14:14:02 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/BASEGM_2015_E010_Sumlcc.shp.
2023/07/18 14:14:52 Loading CTM data...
2023/07/18 14:14:52 Reading input data...
2023/07/18 14:20:29 Loading population and mortality rate data...
2023/07/18 14:21:12 Initializing model...
2023/07/18 14:23:16 Emission totals:
2023/07/18 14:23:16 gOrg, 2690.7833063977755 μg/s
2023/07/18 14:23:16 pOrg, 0 μg/s
2023/07/18 14:23:16 PM2_5, 956.0776361333766 μg/s
2023/07/18 14:23:16 gNH, 953.8390466510631 μg/s
2023/07/18 14:23:16 pNH, 0 μg/s
2023/07/18 14:23:16 gS, 563.0401280170806 μg/s
2023/07/18 14:23:16 pS, 0 μg/s
2023/07/18 14:23:16 gNO, 753.1349140210083 μg/s
2023/07/18 14:23:16 pNO, 0 μg/s
2023/07/18 14:23:16 iteration 1     walltime=0.0345h  Δwalltime=1.2e+02s  timestep= 0s  day=1.79e-08
2023/07/18 14:23:16 iteration 14    walltime=0.0345h  Δwalltime=0.0065s  timestep= 0s  day=2.5e-07
2023/07/18 14:23:18 iteration 337   walltime= 0.035h  Δwalltime=0.0064s  timestep= 0s  day=6.02e-06
2023/07/18 14:23:20 iteration 656   walltime=0.0356h  Δwalltime=0.0074s  timestep= 0s  day=1.17e-05
2023/07/18 14:23:22 iteration 885   walltime=0.0362h  Δwalltime=0.0099s  timestep= 0s  day=1.58e-05
2023/07/18 14:23:24 iteration 1205  walltime=0.0367h  Δwalltime=0.0061s  timestep= 0s  day=2.15e-05
2023/07/18 14:23:26 iteration 1524  walltime=0.0373h  Δwalltime=0.0062s  timestep= 0s  day=2.72e-05
2023/07/18 14:23:28 iteration 1837  walltime=0.0378h  Δwalltime=0.009s  timestep= 0s  day=3.28e-05
2023/07/18 14:23:30 iteration 2150  walltime=0.0384h  Δwalltime=0.0063s  timestep= 0s  day=3.84e-05
2023/07/18 14:23:32 iteration 2462  walltime=0.0389h  Δwalltime=0.0076s  timestep= 0s  day=4.4e-05
2023/07/18 14:23:34 iteration 2779  walltime=0.0395h  Δwalltime=0.0059s  timestep= 0s  day=4.97e-05
2023/07/18 14:23:36 iteration 3102  walltime=  0.04h  Δwalltime=0.0057s  timestep= 0s  day=5.55e-05
2023/07/18 14:23:38 iteration 3420  walltime=0.0406h  Δwalltime=0.0064s  timestep= 0s  day=6.11e-05
2023/07/18 14:23:40 iteration 3743  walltime=0.0412h  Δwalltime=0.0062s  timestep= 0s  day=6.69e-05
2023/07/18 14:23:42 iteration 4063  walltime=0.0417h  Δwalltime=0.0062s  timestep= 0s  day=7.26e-05
2023/07/18 14:23:44 iteration 4381  walltime=0.0423h  Δwalltime=0.006s  timestep= 0s  day=7.83e-05
2023/07/18 14:23:46 iteration 4697  walltime=0.0428h  Δwalltime=0.0067s  timestep= 0s  day=8.4e-05
2023/07/18 14:23:48 iteration 5019  walltime=0.0434h  Δwalltime=0.0061s  timestep= 0s  day=8.97e-05
2023/07/18 14:23:50 iteration 5341  walltime=0.0439h  Δwalltime=0.0066s  timestep= 0s  day=9.55e-05
2023/07/18 14:23:52 iteration 5655  walltime=0.0445h  Δwalltime=0.0062s  timestep= 0s  day=0.000101
2023/07/18 14:23:54 iteration 5962  walltime= 0.045h  Δwalltime=0.006s  timestep= 0s  day=0.000107
2023/07/18 14:23:56 iteration 6275  walltime=0.0456h  Δwalltime=0.0062s  timestep= 0s  day=0.000112
2023/07/18 14:23:58 iteration 6591  walltime=0.0462h  Δwalltime=0.0063s  timestep= 0s  day=0.000118
2023/07/18 14:24:00 iteration 6897  walltime=0.0467h  Δwalltime=0.0061s  timestep= 0s  day=0.000123
2023/07/18 14:24:02 iteration 7214  walltime=0.0473h  Δwalltime=0.011s  timestep= 0s  day=0.000129
2023/07/18 14:24:04 iteration 7487  walltime=0.0478h  Δwalltime=0.0063s  timestep= 0s  day=0.000134
2023/07/18 14:24:06 iteration 7775  walltime=0.0484h  Δwalltime=0.011s  timestep= 0s  day=0.000139
2023/07/18 14:24:08 iteration 8006  walltime=0.0489h  Δwalltime=0.0061s  timestep= 0s  day=0.000143
2023/07/18 14:24:10 iteration 8325  walltime=0.0495h  Δwalltime=0.0061s  timestep= 0s  day=0.000149
2023/07/18 14:24:12 iteration 8646  walltime=  0.05h  Δwalltime=0.0062s  timestep= 0s  day=0.000155
2023/07/18 14:24:14 iteration 8962  walltime=0.0506h  Δwalltime=0.0066s  timestep= 0s  day=0.00016
2023/07/18 14:24:16 iteration 9278  walltime=0.0512h  Δwalltime=0.006s  timestep= 0s  day=0.000166
2023/07/18 14:24:18 iteration 9590  walltime=0.0517h  Δwalltime=0.0066s  timestep= 0s  day=0.000171
2023/07/18 14:24:20 iteration 9900  walltime=0.0523h  Δwalltime=0.0085s  timestep= 0s  day=0.000177
2023/07/18 14:24:22 iteration 10215  walltime=0.0528h  Δwalltime=0.0059s  timestep= 0s  day=0.000183
2023/07/18 14:24:24 iteration 10524  walltime=0.0534h  Δwalltime=0.006s  timestep= 0s  day=0.000188
2023/07/18 14:24:26 iteration 10847  walltime=0.0539h  Δwalltime=0.0064s  timestep= 0s  day=0.000194
2023/07/18 14:24:28 iteration 11165  walltime=0.0545h  Δwalltime=0.0059s  timestep= 0s  day=0.0002
2023/07/18 14:24:30 iteration 11481  walltime= 0.055h  Δwalltime=0.0064s  timestep= 0s  day=0.000205
2023/07/18 14:24:32 iteration 11799  walltime=0.0556h  Δwalltime=0.0059s  timestep= 0s  day=0.000211
2023/07/18 14:24:34 iteration 12113  walltime=0.0562h  Δwalltime=0.0067s  timestep= 0s  day=0.000217
2023/07/18 14:24:36 iteration 12433  walltime=0.0567h  Δwalltime=0.0063s  timestep= 0s  day=0.000222
2023/07/18 14:24:38 iteration 12750  walltime=0.0573h  Δwalltime=0.0062s  timestep= 0s  day=0.000228
2023/07/18 14:24:40 iteration 13069  walltime=0.0578h  Δwalltime=0.0061s  timestep= 0s  day=0.000234
2023/07/18 14:24:42 iteration 13388  walltime=0.0584h  Δwalltime=0.006s  timestep= 0s  day=0.000239
2023/07/18 14:24:44 iteration 13697  walltime=0.0589h  Δwalltime=0.006s  timestep= 0s  day=0.000245
2023/07/18 14:24:46 iteration 14011  walltime=0.0595h  Δwalltime=0.0066s  timestep= 0s  day=0.00025
2023/07/18 14:24:48 iteration 14326  walltime=  0.06h  Δwalltime=0.01s  timestep= 0s  day=0.000256
2023/07/18 14:24:50 iteration 14647  walltime=0.0606h  Δwalltime=0.0062s  timestep= 0s  day=0.000262
2023/07/18 14:24:52 iteration 14965  walltime=0.0612h  Δwalltime=0.0064s  timestep= 0s  day=0.000268
2023/07/18 14:24:54 iteration 15267  walltime=0.0617h  Δwalltime=0.0066s  timestep= 0s  day=0.000273
2023/07/18 14:24:56 iteration 15574  walltime=0.0623h  Δwalltime=0.0064s  timestep= 0s  day=0.000278
2023/07/18 14:24:58 iteration 15895  walltime=0.0628h  Δwalltime=0.0064s  timestep= 0s  day=0.000284
2023/07/18 14:25:00 iteration 16210  walltime=0.0634h  Δwalltime=0.0063s  timestep= 0s  day=0.00029
2023/07/18 14:25:02 iteration 16513  walltime=0.0639h  Δwalltime=0.01s  timestep= 0s  day=0.000295
2023/07/18 14:25:04 iteration 16829  walltime=0.0645h  Δwalltime=0.0058s  timestep= 0s  day=0.000301
2023/07/18 14:25:06 iteration 17153  walltime= 0.065h  Δwalltime=0.006s  timestep= 0s  day=0.000307
2023/07/18 14:25:08 iteration 17468  walltime=0.0656h  Δwalltime=0.01s  timestep= 0s  day=0.000312
2023/07/18 14:25:10 iteration 17631  walltime=0.0662h  Δwalltime=0.011s  timestep= 0s  day=0.000315
