2023/07/12 19:50:37 Parsing output variable expressions...
2023/07/12 19:50:37 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_ground_211.shp.
2023/07/12 19:50:37 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_stack_211.shp.
2023/07/12 19:50:38 Loading CTM data...
2023/07/12 19:50:38 Reading input data...
2023/07/12 19:56:58 Loading population and mortality rate data...
2023/07/12 19:57:41 Initializing model...
2023/07/13 15:31:59 Emission totals:
2023/07/13 15:31:59 gOrg, 3.4978248827371874e+09 μg/s
2023/07/13 15:31:59 pOrg, 0 μg/s
2023/07/13 15:31:59 PM2_5, 3.215161032153733e+08 μg/s
2023/07/13 15:31:59 gNH, 4.7608873946145065e+07 μg/s
2023/07/13 15:31:59 pNH, 0 μg/s
2023/07/13 15:31:59 gS, 2.258513914035739e+09 μg/s
2023/07/13 15:31:59 pS, 0 μg/s
2023/07/13 15:31:59 gNO, 2.3248414121830726e+09 μg/s
2023/07/13 15:31:59 pNO, 0 μg/s
2023/07/13 15:37:07 iteration 46    walltime=  19.7h  Δwalltime= 8.4s  timestep= 2s  day=0.00117
2023/07/13 15:37:15 iteration 47    walltime=  19.7h  Δwalltime= 8.2s  timestep= 2s  day=0.00119
2023/07/13 15:37:24 iteration 48    walltime=  19.7h  Δwalltime= 8.3s  timestep= 2s  day=0.00122
2023/07/13 15:37:32 iteration 49    walltime=  19.7h  Δwalltime= 8.1s  timestep= 2s  day=0.00124
2023/07/13 15:37:39 iteration 50    walltime=  19.7h  Δwalltime= 7.8s  timestep= 2s  day=0.00127
2023/07/13 15:37:46 iteration 51    walltime=  19.7h  Δwalltime= 6.2s  timestep= 2s  day=0.00129
2023/07/13 15:37:52 iteration 52    walltime=  19.7h  Δwalltime= 6.1s  timestep= 2s  day=0.00132
2023/07/13 15:37:58 iteration 53    walltime=  19.7h  Δwalltime= 6.1s  timestep= 2s  day=0.00134
2023/07/13 15:38:04 iteration 54    walltime=  19.7h  Δwalltime= 6.1s  timestep= 2s  day=0.00137
2023/07/13 15:38:10 iteration 55    walltime=  19.7h  Δwalltime=   6s  timestep= 2s  day=0.0014
2023/07/13 15:38:16 iteration 56    walltime=  19.7h  Δwalltime= 6.1s  timestep= 2s  day=0.00142
2023/07/13 15:38:22 iteration 57    walltime=  19.7h  Δwalltime= 6.3s  timestep= 2s  day=0.00145
2023/07/13 15:38:28 iteration 58    walltime=  19.7h  Δwalltime= 6.2s  timestep= 2s  day=0.00147
2023/07/13 15:38:35 iteration 59    walltime=  19.7h  Δwalltime= 6.3s  timestep= 2s  day=0.0015
2023/07/13 15:38:41 iteration 60    walltime=  19.7h  Δwalltime= 6.1s  timestep= 2s  day=0.00152
2023/07/13 15:38:47 iteration 61    walltime=  19.7h  Δwalltime=   6s  timestep= 2s  day=0.00155
2023/07/13 15:38:53 iteration 62    walltime=  19.7h  Δwalltime= 6.4s  timestep= 2s  day=0.00157
2023/07/13 15:38:59 iteration 63    walltime=  19.7h  Δwalltime=   6s  timestep= 2s  day=0.0016
2023/07/13 15:39:05 iteration 64    walltime=  19.7h  Δwalltime= 6.1s  timestep= 2s  day=0.00162
2023/07/13 15:39:11 iteration 65    walltime=  19.7h  Δwalltime=   6s  timestep= 2s  day=0.00165
2023/07/13 15:39:18 iteration 66    walltime=  19.7h  Δwalltime=   6s  timestep= 2s  day=0.00167
2023/07/13 15:39:24 iteration 67    walltime=  19.7h  Δwalltime= 6.1s  timestep= 2s  day=0.0017
2023/07/13 15:39:30 iteration 68    walltime=  19.7h  Δwalltime=   6s  timestep= 2s  day=0.00173
2023/07/13 15:39:36 iteration 69    walltime=  19.7h  Δwalltime= 6.2s  timestep= 2s  day=0.00175
2023/07/13 15:39:45 iteration 70    walltime=  19.7h  Δwalltime= 9.3s  timestep= 2s  day=0.00178
2023/07/13 15:39:53 iteration 71    walltime=  19.7h  Δwalltime= 8.3s  timestep= 2s  day=0.0018
2023/07/13 15:40:02 iteration 72    walltime=  19.7h  Δwalltime= 8.4s  timestep= 2s  day=0.00183
2023/07/13 15:40:10 iteration 73    walltime=  19.7h  Δwalltime= 8.2s  timestep= 2s  day=0.00185
2023/07/13 15:40:18 iteration 74    walltime=  19.7h  Δwalltime= 8.2s  timestep= 2s  day=0.00188
2023/07/13 15:40:26 iteration 75    walltime=  19.7h  Δwalltime= 8.2s  timestep= 2s  day=0.0019
2023/07/13 15:40:35 iteration 76    walltime=  19.7h  Δwalltime= 8.2s  timestep= 2s  day=0.00193
2023/07/13 15:40:41 iteration 77    walltime=  19.7h  Δwalltime= 6.6s  timestep= 2s  day=0.00195
